what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1411297566689
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1411297566721
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1411297566767
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1411297566767
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1411297566799
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1411297566861
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1411297566923
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1411297566955
os,sysinfo,,,"win32",1411297566955
arch,sysinfo,,,"x86",1411297566955
ws,sysinfo,,,"win32",1411297566955
locale,sysinfo,,,"zh_CN",1411297566955
processors,sysinfo,,,"4",1411297566955
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411297566955
java.runtime.version,sysinfo,,,"1.6.0_10-rc2-b32",1411297566955
java.specification.name,sysinfo,,,"Java Platform API Specification",1411297566955
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411297566955
java.specification.version,sysinfo,,,"1.6",1411297566955
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1411297566955
java.version,sysinfo,,,"1.6.0_10-rc2",1411297566955
java.vm.info,sysinfo,,,"mixed mode",1411297566955
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1411297566955
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411297566955
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1411297566955
java.vm.specification.version,sysinfo,,,"1.0",1411297566955
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1411297566955
java.vm.version,sysinfo,,,"11.0-b15",1411297566955
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1411297567204
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1411297567454
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1411297567625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411297567641
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1411297567719
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1411297568093
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1411297568109
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1411297568140
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1411297568530
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1411297568671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411297695733
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411297702394
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411297702441
